# Raichle
Parameter 0: 13.774 [13.611, 13.899]
Parameter 19: 0.049 [0.048, 0.050]

# Mintun IDIF 2
Parameter 0: 1.457 [0.150, 2.995]
Parameter 1: 0.580 [0.019, 8.315]
Parameter 2: 34.389 [6.466, 42.305]
Parameter 3: 4.819 [1.713, 5.264]
Parameter 4: 12.877 [11.161, 17.681]
Parameter 5: 5.786 [3.574, 6.464]
Parameter 6: -3.594 [-4.109, -0.134]
Parameter 7: -4.826 [-8.976, -2.070]
Parameter 8: 157.016 [100.215, 277.461]
Parameter 9: 0.587 [0.398, 0.629]
Parameter 10: 0.058 [0.004, 0.160]
Parameter 11: 0.214 [0.030, 0.247]
Parameter 12: 3.736 [1.790, 4.460]
Parameter 13: 0.088 [0.084, 0.097]
Parameter 14: 0.197 [0.141, 0.214]
Parameter 15: 0.377 [0.248, 0.587]
Parameter 16: 0.985 [0.875, 0.999]
Parameter 17: 12.271 [4.428, 13.003]
Parameter 18: -3.426 [-4.285, 5.023]
Parameter 19: 0.049 [0.048, 0.050]

# Mintun IDIF 3
Parameter 0: 4.167 [2.711, 4.686]
Parameter 1: 38.962 [27.197, 56.612]
Parameter 2: 16.721 [1.119, 38.308]
Parameter 3: 0.889 [0.696, 1.336]
Parameter 4: 21.721 [20.504, 22.562]
Parameter 5: 3.954 [3.143, 4.644]
Parameter 6: -4.687 [-7.976, -2.943]
Parameter 7: -5.330 [-9.719, -0.435]
Parameter 8: 173.524 [28.461, 291.599]
Parameter 9: 0.460 [0.307, 0.565]
Parameter 10: 0.186 [0.021, 0.391]
Parameter 11: 0.093 [0.005, 0.225]
Parameter 12: 2.439 [0.625, 4.354]
Parameter 13: 0.099 [0.096, 0.100]
Parameter 14: 0.170 [0.143, 0.207]
Parameter 15: 0.417 [0.212, 0.751]
Parameter 16: 0.918 [0.706, 0.996]
Parameter 17: 8.340 [5.262, 9.775]
Parameter 18: 1.233 [-0.188, 4.511]
Parameter 19: 0.023 [0.017, 0.034]
Parameter 0: 4.167 [2.711, 4.686]
Parameter 1: 38.962 [27.197, 56.612]
Parameter 2: 16.721 [1.119, 38.308]
Parameter 3: 0.889 [0.696, 1.336]
Parameter 4: 21.721 [20.504, 22.562]
Parameter 5: 3.954 [3.143, 4.644]
Parameter 6: -4.687 [-7.976, -2.943]
Parameter 7: -5.330 [-9.719, -0.435]
Parameter 8: 173.524 [28.461, 291.599]
Parameter 9: 0.460 [0.307, 0.565]
Parameter 10: 0.186 [0.021, 0.391]
Parameter 11: 0.093 [0.005, 0.225]
Parameter 12: 2.439 [0.625, 4.354]
Parameter 13: 0.099 [0.096, 0.100]
Parameter 14: 0.170 [0.143, 0.207]
Parameter 15: 0.417 [0.212, 0.751]
Parameter 16: 0.918 [0.706, 0.996]
Parameter 17: 8.340 [5.262, 9.775]
Parameter 18: 1.233 [-0.188, 4.511]
Parameter 19: 0.023 [0.017, 0.034]

# Mintun AIF 1
Parameter 0: 6.198 [0.920, 9.741]
Parameter 1: 6.363 [5.839, 6.872]
Parameter 2: 9.150 [8.418, 9.971]
Parameter 3: 3.176 [1.817, 5.329]
Parameter 4: 16.458 [13.138, 20.818]
Parameter 5: 9.581 [7.954, 10.216]
Parameter 6: -0.354 [-1.152, -0.018]
Parameter 7: -0.260 [-1.036, -0.010]
Parameter 8: 3.628 [0.267, 23.925]
Parameter 9: 0.490 [0.441, 0.540]
Parameter 10: 0.454 [0.434, 0.476]
Parameter 11: 0.192 [0.165, 0.225]
Parameter 12: 2.575 [0.671, 4.365]
Parameter 13: 0.077 [0.069, 0.087]
Parameter 14: 0.142 [0.140, 0.149]
Parameter 15: 0.442 [0.214, 0.768]
Parameter 16: 0.910 [0.677, 0.996]
Parameter 17: 1.523 [0.496, 2.574]
Parameter 18: 1.707 [0.658, 2.714]
Parameter 19: 0.049 [0.045, 0.050]

# Mintun AIF 2
Parameter 0: 6.198 [0.920, 9.741]
Parameter 1: 6.363 [5.839, 6.872]
Parameter 2: 9.150 [8.418, 9.971]
Parameter 3: 3.176 [1.817, 5.329]
Parameter 4: 16.458 [13.138, 20.818]
Parameter 5: 9.581 [7.954, 10.216]
Parameter 6: -0.354 [-1.152, -0.018]
Parameter 7: -0.260 [-1.036, -0.010]
Parameter 8: 3.628 [0.267, 23.925]
Parameter 9: 0.490 [0.441, 0.540]
Parameter 10: 0.454 [0.434, 0.476]
Parameter 11: 0.192 [0.165, 0.225]
Parameter 12: 2.575 [0.671, 4.365]
Parameter 13: 0.077 [0.069, 0.087]
Parameter 14: 0.142 [0.140, 0.149]
Parameter 15: 0.442 [0.214, 0.768]
Parameter 16: 0.910 [0.677, 0.996]
Parameter 17: 1.523 [0.496, 2.574]
Parameter 18: 1.707 [0.658, 2.714]
Parameter 19: 0.049 [0.045, 0.050]

# Mintun AIF 3
Parameter 0: 7.845 [0.865, 10.907]
Parameter 1: 14.068 [13.562, 14.715]
Parameter 2: 32.666 [23.112, 42.879]
Parameter 3: 1.486 [0.924, 3.047]
Parameter 4: 19.587 [16.883, 25.870]
Parameter 5: 9.379 [7.943, 10.198]
Parameter 6: -0.180 [-0.744, -0.007]
Parameter 7: -5.331 [-8.367, -0.414]
Parameter 8: 111.744 [26.990, 260.213]
Parameter 9: 0.565 [0.547, 0.585]
Parameter 10: 0.057 [0.024, 0.095]
Parameter 11: 0.168 [0.137, 0.198]
Parameter 12: 2.872 [0.712, 4.397]
Parameter 13: 0.094 [0.085, 0.100]
Parameter 14: 0.142 [0.140, 0.148]
Parameter 15: 0.492 [0.217, 0.779]
Parameter 16: 0.969 [0.864, 0.999]
Parameter 17: 0.592 [0.463, 1.508]
Parameter 18: 2.583 [1.641, 2.717]
Parameter 19: 0.049 [0.048, 0.050]
Parameter 0: 7.845 [0.865, 10.907]
Parameter 1: 14.068 [13.562, 14.715]
Parameter 2: 32.666 [23.112, 42.879]
Parameter 3: 1.486 [0.924, 3.047]
Parameter 4: 19.587 [16.883, 25.870]
Parameter 5: 9.379 [7.943, 10.198]
Parameter 6: -0.180 [-0.744, -0.007]
Parameter 7: -5.331 [-8.367, -0.414]
Parameter 8: 111.744 [26.990, 260.213]
Parameter 9: 0.565 [0.547, 0.585]
Parameter 10: 0.057 [0.024, 0.095]
Parameter 11: 0.168 [0.137, 0.198]
Parameter 12: 2.872 [0.712, 4.397]
Parameter 13: 0.094 [0.085, 0.100]
Parameter 14: 0.142 [0.140, 0.148]
Parameter 15: 0.492 [0.217, 0.779]
Parameter 16: 0.969 [0.864, 0.999]
Parameter 17: 0.592 [0.463, 1.508]

# Huang IDIF
13.2
20.8
59.5
0.272
6.25
2.56
-1.21
-0.654
11.7
0.0678
0.0466
0.0389
2.44
0.0222
0.069
0.003
0.002
0.000
12.468
-9.492
0.020

# Huang AIF
21.0
5.04
16.8
3.36
11.1
9.00
-1.50
-2.70
23.7
0.193
0.0634
0.0602
2.49
0.0402
0.069
0.003
0.002
0.000
12.468
-9.492
0.020

# Ichise
Parameter 0: 0.080 [0.074, 0.087]
Parameter 1: 0.001 [0.001, 0.002]
Parameter 2: 0.002 [0.002, 0.002]
Parameter 3: 0.002 [0.001, 0.002]
Parameter 4: 0.024 [0.023, 0.025]
Parameter 5: 3.455 [3.333, 3.606]
Parameter 6: 9.346 [8.769, 9.697]
Parameter 7: -5.729 [-6.049, -5.431]
Parameter 8: 0.034 [0.032, 0.036]

# playground for Mintun1984Model, twil
Parameter 0: 0.639 [0.617, 0.660]
Parameter 1: 0.269 [0.203, 0.541]
Parameter 2: 0.997 [0.986, 1.000]
Parameter 3: 14.515 [14.244, 14.800]
Parameter 4: -28.524 [-28.742, -28.318]
Parameter 5: 0.050 [0.049, 0.050]

# playground for Huang1980Model, idif
Parameter 0: 0.395 [0.371, 0.420]
Parameter 1: 0.134 [0.125, 0.145]
Parameter 2: 0.004 [0.003, 0.004]
Parameter 3: 0.002 [0.002, 0.002]
Parameter 4: 10.857 [10.242, 11.384]
Parameter 5: -44.222 [-44.788, -43.532]
Parameter 6: 0.015 [0.014, 0.016]

playground for Raichle1983Model:

twilite:

Parameter 0: 0.009 [0.007, 0.016]
Parameter 1: 0.746 [0.720, 0.776]
Parameter 2: 0.010 [0.008, 0.020]
Parameter 3: 6.261 [0.419, 12.227]
Parameter 4: -12.141 [-18.211, -6.309]
Parameter 5: 0.021 [0.019, 0.024]

idif:

Parameter 0: 0.006 [0.006, 0.009]
Parameter 1: 0.622 [0.610, 0.636]
Parameter 2: 0.018 [0.010, 0.027]
Parameter 3: 4.361 [0.252, 14.518]
Parameter 4: -3.703 [-13.816, 0.394]
Parameter 5: 0.014 [0.012, 0.016]

playground for Mintun1984Model:

twilite:

Parameter 0: 0.470 [0.433, 0.495]
Parameter 1: 0.270 [0.106, 0.820]
Parameter 2: 0.886 [0.523, 0.995]
Parameter 3: 6.742 [0.401, 12.613]
Parameter 4: -14.034 [-19.642, -7.592]
Parameter 5: 0.024 [0.019, 0.032]

idif:

Parameter 0: 0.412 [0.384, 0.437]
Parameter 1: 0.978 [0.231, 1.605]
Parameter 2: 0.978 [0.884, 0.999]
Parameter 3: 14.834 [14.163, 15.605]
Parameter 4: -10.686 [-10.970, -10.366]
Parameter 5: 0.025 [0.019, 0.034]

playground for Huang1980Model:

twilite:

idif:



